SKU,Strain,Tier,Type,THC,Price_3G,Price_5G,Price_14G,Price_28G,ImageURL,PPromo
233,BLUEBERRY OG,AA,IH,27%,,$20,,$80,https://athena-cannabis-images.vercel.app/products/233-BLUEBERRY-OG-2.jpg,
234,PINK COOKIE OG,AA,IH,27%,,20,50,$80,https://athena-cannabis-images.vercel.app/products/234-PINK-COOKIE-OG.jpg,
238,GREEN GELATO ✨SALE,AA,IH SALE,29%,,20|15,$40,,https://athena-cannabis-images.vercel.app/products/238-Green-Gelato.webp,
242,GRANDDADDY PURPLE,AA,IH,27%,,20,$45,80,https://athena-cannabis-images.vercel.app/products/242-GRANDDADDY-PURPLE.jpg,
244,BLUE DREAM ( SATIVA),AA,SH,27%,,20,50,$90,https://athena-cannabis-images.vercel.app/products/244-BLUE-DREAM-SATIVA.jpg,
245,GORILLA GLUE✨SALE,AA,IH SALE,27%,,20|15,$40,$60,https://athena-cannabis-images.vercel.app/products/245-GORILLA-GLUE.jpg,
252,PURPLE OREO (H),AA,IH,27%,,20,40,$70,https://athena-cannabis-images.vercel.app/products/252-PURPLE-OREO-H.jpg,https://kennedyloudcannabis.com/wp-content/uploads/2026/01/ChatGPT-Image-Jan-7-2026-03_04_10-AM.png
253,PINK BERRY,AA,IH,27%,,20,$45,$75,https://athena-cannabis-images.vercel.app/products/253-PINK-BERRY-H.jpg,
254,PINK DIABLO,AA,IH,27%,,20,$55,$90,https://athena-cannabis-images.vercel.app/products/254-PINK-DIABLO-OG-I.jpg,
256,ICE CREAM VANILLA,AA,SH,27%,,20,$45,$80,https://athena-cannabis-images.vercel.app/products/256-ICE-CREAM-VANILLA-99134.jpg,
257,PURPLE COOKIES,AA,IH,27%,,20,$45,$75,https://athena-cannabis-images.vercel.app/products/257-PURPLE-COOKIES-99135.jpg,
258,PINK JET FUEL,AA,IH,28%,,20,$55,$90,https://afterdarkcannabis.com/wp-content/uploads/2025/11/258-PINK-JET-FUEL-99136.jpg,
260,RED RUNTZ,AA,IH,28%,,20,$45,$80,https://afterdarkcannabis.com/wp-content/uploads/2025/11/260-RED-RUNTZ-99122.jpg,
